obs_id,train_id,price,carat,cut,color,clarity,depth,table,x,y,z
id_000329,test,NA,0.7,Ideal,F,VS1,61.5,55,5.73,5.75,3.53
id_000330,train,823,0.37,Ideal,D,SI1,61.1,57,4.63,4.64,2.83
id_000331,valid,802,0.31,Premium,G,VS1,61.8,59,4.35,4.32,2.68
id_000332,train,666,0.33,Ideal,F,VS2,62.3,55,4.42,4.47,2.77
id_000333,train,15585,1.5,Very Good,F,VS1,60.5,55,7.39,7.48,4.5
id_000334,train,3527,0.95,Very Good,E,SI2,58.7,63,6.43,6.37,3.76
id_000335,train,1015,0.41,Premium,D,SI1,62.1,59,4.76,4.74,2.95
id_000336,valid,5037,1.23,Very Good,G,SI2,60.8,59,6.88,6.97,4.21
id_000337,train,13720,1.5,Premium,G,VS1,60.2,58,7.41,7.38,4.45
id_000338,test,NA,1.09,Premium,D,SI2,61.9,61,6.58,6.54,4.06
id_000339,train,674,0.41,Very Good,E,SI1,60,58,4.79,4.88,2.9
id_000340,valid,2844,0.73,Very Good,E,SI1,57.7,61,5.92,5.96,3.43
id_000341,valid,3544,1.06,Ideal,F,I1,61.8,55,6.55,6.58,4.06
id_000342,train,808,0.32,Ideal,E,VVS2,61,55,4.43,4.45,2.71
id_000343,train,6708,1.21,Very Good,F,SI1,59.4,56,6.95,7,4.14
id_000344,train,1313,0.41,Very Good,F,IF,61.6,58,4.75,4.79,2.94
id_000345,train,609,0.31,Ideal,H,VVS2,61.4,55,4.37,4.39,2.69
id_000346,train,4878,1.28,Good,J,SI1,63.4,59,6.84,6.89,4.35
id_000347,train,756,0.36,Premium,G,VS2,62.5,58,4.55,4.51,2.83
id_000348,train,2297,0.57,Ideal,E,VS1,61,56,5.38,5.4,3.29
id_000349,test,NA,1.05,Very Good,G,SI2,62.6,62,6.45,6.49,4.05
id_000350,train,471,0.29,Very Good,G,VS2,61.9,55,4.25,4.28,2.64
id_000351,test,NA,0.93,Ideal,D,SI2,62.5,55,6.2,6.24,3.89
id_000352,train,8743,1.64,Premium,I,SI2,61.3,58,7.62,7.58,4.66
id_000353,train,6270,1.01,Very Good,D,SI1,63.6,59,6.33,6.37,4.04
id_000354,train,530,0.23,Very Good,E,VVS1,62.1,58,3.9,3.93,2.43
id_000355,valid,2075,0.61,Premium,F,VS2,59.6,61,5.58,5.5,3.3
id_000356,train,2333,0.54,Ideal,F,VVS2,61.2,55,5.27,5.25,3.22
id_000357,train,683,0.31,Ideal,D,VS1,60.5,55,4.39,4.43,2.67
id_000358,train,2544,0.61,Ideal,G,VVS1,62.7,58,5.39,5.43,3.39
id_000359,train,11817,1.51,Premium,F,SI1,61.4,58,7.43,7.35,4.54
id_000360,train,4724,0.9,Ideal,F,SI1,61.3,56,6.21,6.23,3.81
id_000361,valid,872,0.35,Ideal,F,VVS2,61.2,56,4.56,4.58,2.8
id_000362,test,NA,0.56,Very Good,F,SI1,63.3,56,5.26,5.22,3.32
id_000363,train,625,0.31,Very Good,H,VVS2,62.4,58,4.28,4.31,2.68
id_000364,test,NA,0.41,Ideal,F,VVS2,62.5,56,4.75,4.72,2.96
id_000365,test,NA,0.6,Premium,E,VS1,61,61,5.46,5.39,3.31
id_000366,train,1063,0.35,Ideal,E,VS1,61.9,56,4.53,4.51,2.8
id_000367,valid,2873,0.76,Ideal,E,SI2,62.8,56,5.78,5.82,3.64
id_000368,test,NA,0.58,Ideal,D,SI1,61.1,57,5.36,5.41,3.29
id_000369,test,NA,0.39,Premium,E,VS2,61.3,61,4.7,4.66,2.87
id_000370,train,2537,0.7,Ideal,E,SI1,62.8,56,5.69,5.72,3.58
id_000371,valid,591,0.27,Very Good,F,VVS2,60.8,59,4.17,4.19,2.54
id_000372,train,9987,1.5,Very Good,H,SI1,61,55,7.35,7.44,4.51
id_000373,test,NA,1.51,Premium,F,VS2,62.2,60,7.25,7.34,4.54
id_000374,valid,5386,1.11,Ideal,H,SI1,62.7,56,6.65,6.59,4.15
id_000375,train,5101,1.05,Ideal,I,VS1,61.5,55,6.56,6.61,4.05
id_000376,train,7190,1.2,Ideal,H,VS2,60.8,55,6.9,6.85,4.18
id_000377,train,10553,1.51,Fair,G,VS2,58.1,67,7.59,7.49,4.38
id_000378,train,4871,1.09,Very Good,H,SI1,63.2,57,6.57,6.54,4.14
id_000379,valid,844,0.3,Premium,E,VS2,62,58,4.29,4.26,2.65
id_000380,valid,684,0.3,Very Good,G,VVS2,63,57,4.28,4.32,2.71
id_000381,valid,1569,0.51,Premium,D,SI1,60.1,60,5.15,5.17,3.1
id_000382,train,859,0.46,Very Good,F,SI2,61.6,55,4.98,5.02,3.08
id_000383,train,4799,1.07,Ideal,E,SI2,61.2,56,6.63,6.66,4.07
id_000384,valid,756,0.36,Premium,E,SI1,62.2,59,4.57,4.53,2.83
id_000385,train,5408,1.13,Very Good,D,SI2,62.3,60,6.59,6.7,4.14
id_000386,train,1427,0.53,Ideal,I,VS1,62.3,56,5.19,5.23,3.24
id_000387,test,NA,0.54,Premium,E,SI1,62.2,58,5.26,5.23,3.26
id_000388,valid,2376,0.6,Premium,H,VS1,60.8,59,5.49,5.43,3.32
id_000389,valid,670,0.3,Ideal,D,VS2,61.3,56,4.32,4.36,2.66
id_000390,train,600,0.36,Premium,F,SI1,61.6,60,4.54,4.61,2.82
id_000391,test,NA,0.42,Ideal,I,VVS1,60.2,57,4.85,4.88,2.93
id_000392,train,6540,1.01,Very Good,F,VS2,63.2,59,6.3,6.36,4
id_000393,train,1292,0.57,Ideal,H,SI1,61.3,54,5.34,5.39,3.29
id_000394,train,4661,0.94,Very Good,E,SI1,61.8,56,6.29,6.33,3.9
id_000395,test,NA,1.03,Ideal,F,VVS2,61.1,57,6.51,6.54,3.99
id_000396,train,645,0.32,Ideal,H,VVS2,61.8,55,4.38,4.42,2.72
id_000397,train,1013,0.3,Very Good,G,VVS1,63.1,58,4.31,4.28,2.71
id_000398,train,5570,1.09,Very Good,F,SI1,62.3,57,6.55,6.61,4.1
id_000399,train,9784,1.56,Good,F,SI2,57.5,58,7.82,7.67,4.45
id_000400,test,NA,0.51,Premium,G,VS1,62.2,58,5.11,5.09,3.17
id_000401,valid,769,0.26,Ideal,F,VVS1,61.6,57,4.1,4.08,2.52
id_000402,valid,16687,2.39,Premium,H,SI1,60.6,58,8.65,8.58,5.22
id_000403,train,2652,0.75,Ideal,E,SI1,61.5,56,5.88,5.84,3.6
id_000404,train,8205,1.53,Premium,J,VS1,62.8,59,7.34,7.31,4.6
id_000405,valid,2334,0.89,Fair,I,VS1,68.2,65,5.82,5.74,3.94
id_000406,test,NA,0.34,Ideal,E,SI1,61.4,55,4.54,4.48,2.77
id_000407,train,1753,0.53,Premium,F,VS2,61.9,58,5.2,5.17,3.21
id_000408,train,802,0.31,Very Good,G,VS1,63.3,56,4.33,4.29,2.73
id_000409,train,3236,0.72,Ideal,D,VS2,60.9,55,5.77,5.89,3.55
id_000410,valid,4679,1,Fair,F,SI1,56.5,60,6.62,6.66,3.75
id_000411,train,4965,1.01,Premium,H,SI1,61.8,59,6.41,6.37,3.95
id_000412,valid,5350,1.02,Fair,E,VS2,66.6,57,6.09,6.14,4.07
id_000413,train,587,0.31,Ideal,G,VS1,60.6,58,4.39,4.42,2.67
id_000414,train,1218,0.57,Good,H,SI1,63.1,54,5.28,5.3,3.34
id_000415,train,7957,1.51,Good,I,SI2,63.6,60,7.27,7.23,4.61
id_000416,test,NA,1.51,Very Good,E,SI1,63.5,57,7.28,7.23,4.61
id_000417,train,3726,1.21,Good,E,I1,63.3,63,6.67,6.72,4.24
id_000418,train,2752,0.72,Ideal,H,VVS2,62.3,56,5.74,5.81,3.6
id_000419,train,4877,1.11,Good,D,SI2,60.1,63,6.68,6.7,4.02
id_000420,train,1629,0.5,Ideal,E,VS2,62.5,57,5.1,5.04,3.17
id_000421,test,NA,0.8,Ideal,D,SI2,61.9,54,6,5.95,3.7
id_000422,test,NA,0.41,Good,F,VS2,63.2,57,4.74,4.76,3
id_000423,test,NA,0.3,Premium,H,VVS2,62.9,57,4.31,4.28,2.7
id_000424,train,696,0.33,Very Good,D,VS1,60.1,59,4.46,4.49,2.69
id_000425,train,9833,1.51,Good,E,SI2,63.2,56,7.26,7.32,4.61
id_000426,test,NA,0.86,Very Good,G,SI1,62.9,55,6.04,6.08,3.81
id_000427,train,5861,1.01,Very Good,F,SI1,62.4,59,6.37,6.42,3.99
id_000428,test,NA,1.2,Ideal,G,SI1,60.5,56,6.84,6.87,4.15
id_000429,train,960,0.32,Ideal,E,VS2,60.2,57,4.51,4.46,2.7
id_000430,train,4271,1.01,Very Good,G,SI1,63.5,60,6.41,6.38,3.92
id_000431,test,NA,0.3,Ideal,D,VS2,61.6,57,4.3,4.33,2.66
id_000432,valid,5125,1.09,Ideal,H,SI1,62.3,55,6.58,6.61,4.11
id_000433,train,1065,0.63,Ideal,J,SI2,61.4,54,5.54,5.56,3.41
id_000434,train,814,0.3,Ideal,F,VVS1,61.5,58,4.3,4.32,2.65
id_000435,train,4229,0.93,Ideal,E,SI1,62.8,56,6.24,6.19,3.9
id_000436,train,17203,1.5,Premium,F,VVS2,58.8,58,7.51,7.43,4.39
id_000437,train,8403,1.01,Very Good,E,VS1,60.4,60,6.43,6.48,3.9
id_000438,train,12787,1.5,Ideal,G,VS2,62.5,55,7.26,7.23,4.53
id_000439,valid,741,0.32,Ideal,F,VVS2,62.1,56,4.4,4.46,2.75
id_000440,test,NA,0.79,Very Good,G,SI2,63.4,60,5.83,5.77,3.68
id_000441,train,2241,0.63,Very Good,G,VS1,59.9,57,5.57,5.62,3.35
id_000442,train,1709,0.54,Ideal,H,VS1,61.8,56,5.21,5.25,3.23
id_000443,test,NA,0.57,Ideal,D,VVS1,61.6,56,5.33,5.35,3.29
id_000444,valid,4205,1.01,Fair,D,SI2,65.3,55,6.33,6.19,4.09
id_000445,train,1273,0.55,Ideal,E,SI2,62,56,5.27,5.22,3.25
id_000446,test,NA,0.29,Very Good,G,VS1,58.1,59,4.39,4.42,2.56
id_000447,valid,3596,0.84,Very Good,G,VS2,61.8,57,6.04,6.07,3.74
id_000448,train,7358,1.31,Premium,G,SI1,62.2,56,7.02,6.97,4.35
id_000449,train,573,0.42,Very Good,G,SI2,59.5,61,4.85,4.9,2.9
id_000450,train,706,0.35,Ideal,H,VVS2,62.5,57,4.48,4.54,2.82
id_000451,test,NA,0.5,Ideal,D,VS1,61.9,55,5.09,5.12,3.16
id_000452,valid,3603,0.83,Very Good,F,VS1,63.3,56,5.99,5.92,3.77
id_000453,train,5254,1,Good,H,VS2,60.9,61,6.38,6.42,3.9
id_000454,valid,9901,1.16,Ideal,G,IF,62.3,55,6.73,6.79,4.21
id_000455,train,3581,0.78,Ideal,H,VVS2,62.1,56,5.88,5.9,3.66
id_000456,train,827,0.41,Very Good,H,VS1,62,56,4.74,4.78,2.95
id_000457,test,NA,1.51,Premium,G,SI2,62.7,57,7.33,7.29,4.58
id_000458,train,668,0.24,Premium,E,VVS1,60.6,59,4.02,4,2.43
id_000459,valid,1665,0.55,Ideal,E,VS2,61.5,57,5.25,5.29,3.24
id_000460,valid,2263,0.7,Very Good,E,SI2,62,59,5.61,5.68,3.5
id_000461,valid,9533,1.5,Ideal,I,VS1,60.5,56,7.38,7.46,4.49
id_000462,train,1778,0.46,Very Good,D,VVS1,62.2,56,4.94,4.97,3.08
id_000463,train,6108,1.01,Very Good,G,VS2,63.1,60,6.36,6.31,4
id_000464,train,12608,1.36,Ideal,F,VVS2,61.6,56,7.17,7.08,4.39
id_000465,valid,844,0.3,Ideal,E,VS2,61.8,55,4.35,4.33,2.68
id_000466,train,651,0.3,Ideal,D,VS1,62.2,56,4.27,4.31,2.67
id_000467,test,NA,0.57,Premium,E,SI1,61.4,58,5.28,5.34,3.26
id_000468,train,9542,1.42,Good,F,VS2,63.7,57,7.08,6.99,4.48
id_000469,train,520,0.3,Premium,D,SI1,62.5,59,4.26,4.22,2.65
id_000470,train,1412,0.59,Premium,F,SI1,61.7,60,5.37,5.39,3.32
id_000471,train,1614,0.5,Ideal,E,VS2,61.4,55,5.12,5.14,3.15
id_000472,train,6377,1,Ideal,G,VS2,62.4,59,6.36,6.4,3.98
id_000473,test,NA,0.3,Ideal,E,VS2,61.7,55,4.32,4.3,2.66
id_000474,train,3535,0.84,Very Good,G,VS2,62,56,6.07,6.09,3.77
id_000475,test,NA,0.63,Very Good,F,VS1,59.2,57,5.56,5.66,3.32
id_000476,train,2386,0.71,Ideal,G,SI1,61.4,57,5.76,5.71,3.52
id_000477,train,9875,1.57,Premium,D,SI2,62.9,61,7.41,7.37,4.65
id_000478,test,NA,0.52,Ideal,E,VS2,61.4,54,5.23,5.2,3.2
id_000479,train,4565,1.09,Ideal,J,SI1,61.4,55,6.61,6.67,4.08
id_000480,train,4238,1.02,Premium,F,SI2,62,59,6.42,6.33,3.95
id_000481,train,452,0.31,Ideal,I,VS2,61.6,57,4.36,4.4,2.7
id_000482,train,3192,0.76,Premium,E,VS2,60.1,59,6.01,5.97,3.6
id_000483,train,907,0.31,Ideal,G,VVS2,62.7,57,4.34,4.31,2.71
id_000484,valid,631,0.33,Ideal,D,SI2,62.4,56,4.44,4.41,2.76
id_000485,train,2240,0.7,Ideal,I,VS2,62.1,54.6,5.68,5.72,3.54
id_000486,train,552,0.3,Good,D,SI1,63.4,56,4.26,4.29,2.71
id_000487,valid,1819,0.57,Premium,G,VS1,61,57,5.4,5.35,3.28
id_000488,train,2060,0.64,Very Good,G,VS1,60.4,62,5.54,5.58,3.36
id_000489,train,5291,1.02,Very Good,G,SI1,61.3,56,6.43,6.53,3.97
id_000490,train,6121,1.22,Premium,I,VS1,61.1,58,6.91,6.84,4.2
id_000491,test,NA,0.32,Good,G,VS2,63.3,54,4.36,4.39,2.77
id_000492,test,NA,0.31,Premium,G,VVS1,62.1,59,4.35,4.32,2.69
id_000493,valid,1152,0.52,Ideal,I,VS2,62.3,54,5.17,5.2,3.23
id_000494,valid,2310,0.7,Ideal,G,SI1,61.9,58,5.69,5.72,3.53
id_000495,train,1896,0.6,Very Good,D,SI1,62.2,56,5.4,5.44,3.37
id_000496,valid,1970,0.51,Very Good,E,VS1,61.8,54.7,5.12,5.15,31.8
id_000497,test,NA,1.05,Premium,F,SI2,62.8,55,6.55,6.48,4.09
id_000498,test,NA,0.72,Ideal,G,VS2,61.5,55,5.76,5.79,3.55
id_000499,train,3429,0.8,Good,F,VS2,63.2,55,5.88,5.9,3.72
id_000500,train,4092,1.11,Ideal,J,SI2,61.7,57,6.63,6.69,4.11
id_000501,valid,1547,0.97,Fair,G,I1,57.2,60,6.59,6.36,3.72
id_000502,test,NA,0.35,Premium,H,SI1,62.4,58,4.47,4.54,2.81
id_000503,valid,727,0.36,Premium,D,VS2,60.3,58,4.63,4.66,2.8
id_000504,train,2940,0.75,Ideal,E,VS2,61.6,57,5.84,5.81,3.59
id_000505,train,3246,0.9,Premium,I,VS2,62.8,61,6.12,6.02,3.81
id_000506,valid,2583,0.74,Ideal,F,SI1,62.2,54,5.79,5.85,3.62
id_000507,train,13605,1.7,Ideal,G,VS1,62.9,57,7.59,7.52,4.75
id_000508,train,720,0.32,Premium,G,VS2,60.7,58,4.42,4.38,2.67
id_000509,test,NA,0.3,Ideal,G,VS1,61.5,56,4.34,4.28,2.65
id_000510,valid,3015,0.81,Ideal,E,SI2,61,56,5.99,6.05,3.67
id_000511,train,5469,1.02,Premium,H,VS1,62.1,59,6.38,6.43,3.98
id_000512,test,NA,2.01,Good,I,SI2,56.9,59,8.41,8.3,4.74
id_000513,train,4195,1.01,Good,G,SI1,63.6,58,6.29,6.35,4.02
id_000514,train,3898,0.78,Very Good,E,VS1,61.5,60,5.86,5.92,3.62
id_000515,train,1975,0.55,Ideal,E,VS1,62.2,55,5.22,5.26,3.26
id_000516,train,4336,1.01,Ideal,I,SI2,62.5,57,6.38,6.45,4.01
id_000517,train,4661,0.94,Premium,E,SI1,60,58,6.37,6.44,3.84
id_000518,test,NA,1.09,Premium,G,VVS2,59.5,61,6.74,6.7,4
id_000519,train,4404,1.51,Premium,H,I1,60.9,56,7.38,7.26,4.46
id_000520,test,NA,1,Premium,G,SI2,61.8,59,6.38,6.33,3.93
id_000521,valid,3145,0.7,Ideal,G,SI1,61.6,55,5.71,5.76,3.53
id_000522,train,5996,1.21,Ideal,F,SI2,61.8,57,6.82,6.87,4.23
id_000523,train,1619,0.51,Ideal,F,VS2,62.8,57,5.1,5.06,3.19
id_000524,train,702,0.32,Ideal,E,VS2,62.2,55,4.37,4.38,2.72
id_000525,valid,1623,0.51,Ideal,D,VS2,61.8,54,5.12,5.17,3.18
id_000526,test,NA,1.5,Premium,J,VS2,59.6,60,7.38,7.31,4.38
id_000527,train,465,0.23,Very Good,E,VVS2,58,60,4.04,4.07,2.35
id_000528,train,954,0.41,Very Good,E,VS1,62.2,58,4.74,4.78,2.96
id_000529,valid,3767,0.76,Premium,E,VVS2,60.6,59,5.94,5.85,3.57
id_000530,train,410,0.3,Premium,H,SI2,60.2,62,4.37,4.34,2.62
id_000531,train,4742,1.26,Ideal,J,SI2,62.5,53,6.9,6.86,4.3
id_000532,test,NA,0.32,Premium,H,SI1,62.6,55,4.38,4.37,2.74
id_000533,valid,863,0.34,Ideal,G,VVS1,61.7,56,4.5,4.55,2.79
id_000534,train,842,0.32,Very Good,G,VVS1,61.9,58,4.36,4.39,2.71
id_000535,train,2789,0.76,Premium,E,SI1,60.4,58,5.92,5.94,3.58
id_000536,valid,919,0.43,Ideal,E,SI2,61.9,57,4.86,4.83,3
id_000537,train,2830,0.53,Ideal,F,VVS1,60.9,57,5.23,5.29,3.19
id_000538,train,1427,0.56,Ideal,H,VS2,61.7,54,5.31,5.33,3.28
id_000539,test,NA,0.34,Ideal,H,SI1,61.4,55,4.51,4.55,2.78
id_000540,train,814,0.32,Premium,E,VVS1,60.8,59,4.43,4.45,2.7
id_000541,valid,1690,0.5,Good,G,VVS2,61.2,63.3,5.06,5.08,3.1
id_000542,valid,2800,0.76,Fair,G,VS1,59,70,5.89,5.8,3.46
id_000543,train,2933,0.73,Premium,F,VS2,59.9,58,5.84,5.87,3.51
id_000544,train,871,0.31,Ideal,E,VS1,61.6,55,4.37,4.39,2.7
id_000545,test,NA,0.7,Very Good,I,VS1,61.4,57,5.71,5.74,3.52
id_000546,valid,2499,0.55,Very Good,E,VVS2,60.6,56,5.33,5.36,3.24
id_000547,test,NA,0.63,Ideal,H,SI2,61.7,55,5.51,5.56,3.41
id_000548,train,1750,0.51,Very Good,G,VVS2,62.9,57,5.06,5.12,3.2
id_000549,train,4240,1.04,Premium,E,SI2,61.6,59,6.57,6.55,4.04
id_000550,test,NA,0.29,Very Good,H,SI2,60.7,60,4.33,4.37,2.64
id_000551,train,14334,1.51,Premium,F,VS2,61.9,59,7.31,7.39,4.55
id_000552,valid,854,0.33,Ideal,G,VS1,62.4,56,4.45,4.43,2.77
id_000553,train,511,0.31,Ideal,G,VS2,62.1,54,4.34,4.36,2.7
id_000554,test,NA,0.73,Very Good,J,VS2,62.7,57,5.71,5.74,3.59
id_000555,train,1308,0.53,Ideal,G,SI1,62.7,55,5.15,5.19,3.24
id_000556,train,1069,0.37,Premium,D,VVS1,61.4,58,4.63,4.65,2.85
id_000557,train,736,0.33,Ideal,D,SI1,60.9,56,4.46,4.5,2.73
id_000558,train,3906,1.01,Very Good,J,SI2,62.8,59,6.34,6.37,3.99
id_000559,train,10685,1.59,Very Good,D,SI2,59.9,59,7.6,7.52,4.53
id_000560,train,3170,0.74,Ideal,F,VS1,62.3,57,5.79,5.77,3.6
id_000561,test,NA,1.07,Ideal,E,SI2,62.4,57,6.55,6.52,4.08
id_000562,train,1641,0.58,Ideal,G,VS2,61.1,55,5.45,5.42,3.32
id_000563,test,NA,1.12,Ideal,G,VVS2,62.5,56,6.59,6.66,4.14
id_000564,train,524,0.32,Premium,E,SI1,61.2,58,4.37,4.42,2.69
id_000565,train,1410,0.5,Good,G,VS2,63.2,57,4.99,5.04,3.17
id_000566,valid,1769,0.53,Ideal,E,SI1,60.9,57,5.21,5.24,3.18
id_000567,train,11059,2.02,Premium,I,VS2,61.2,60,8.22,8.13,5
id_000568,train,6399,1.25,Very Good,G,SI2,61.4,59,6.97,6.93,4.27
id_000569,valid,505,0.36,Ideal,G,SI2,62.3,54,4.57,4.61,2.86
id_000570,test,NA,0.3,Very Good,H,VVS1,63.4,55,4.3,4.28,2.72
id_000571,train,617,0.42,Good,D,SI2,60.7,61,4.78,4.84,2.92
id_000572,train,6623,1.08,Very Good,H,VVS1,63.1,57,6.57,6.52,4.13
id_000573,valid,2973,0.7,Good,E,VS1,59.8,62,5.74,5.8,3.45
id_000574,train,605,0.3,Very Good,G,VS1,62.9,58,4.27,4.32,2.7
id_000575,valid,6600,1,Premium,E,VS2,60,60,6.43,6.43,3.89
id_000576,test,NA,1.01,Ideal,I,VS1,62.5,59,6.33,6.41,3.98
id_000577,train,4088,1,Very Good,F,SI1,63.2,54,6.3,6.23,3.96
id_000578,train,1195,0.35,Ideal,E,VVS1,62.1,57,4.52,4.55,2.81
id_000579,train,1095,0.32,Premium,E,IF,61.6,58,4.38,4.39,2.7
id_000580,train,2394,0.7,Good,E,VS2,64.2,60,5.58,5.64,3.6
id_000581,train,13853,1.5,Premium,F,VS2,60.9,60,7.42,7.35,4.5
id_000582,test,NA,0.41,Very Good,H,VVS2,61.3,54,4.75,4.87,2.95
id_000583,train,765,0.34,Ideal,H,VS1,62.3,55,4.48,4.45,2.78
id_000584,train,1621,0.42,Ideal,D,VVS1,61.6,56,4.82,4.79,2.96
id_000585,train,3465,0.71,Very Good,D,VS1,62.9,56,5.65,5.7,3.57
id_000586,train,490,0.34,Good,H,SI1,63.3,56,4.45,4.46,2.82
id_000587,train,1632,0.51,Ideal,G,VS1,60.2,56,5.18,5.24,3.14
id_000588,train,508,0.26,Ideal,H,VVS2,62.5,54,4.11,4.14,2.58
id_000589,valid,9467,1.51,Premium,I,VS1,62.3,60,7.28,7.32,4.55
id_000590,train,4816,1,Premium,G,SI1,60.8,58,6.48,6.45,3.93
id_000591,train,394,0.3,Very Good,F,SI2,62.6,61,4.2,4.24,2.64
id_000592,test,NA,0.7,Good,I,VS2,57.1,61,5.9,5.93,3.38
id_000593,test,NA,0.42,Premium,F,VS1,59.8,57,4.89,4.85,2.91
id_000594,valid,726,0.36,Ideal,G,VS1,61.6,56,4.56,4.59,2.82
id_000595,train,2879,0.72,Ideal,F,VS1,62,56,5.76,5.73,3.56
id_000596,test,NA,0.33,Very Good,I,SI1,63.2,58,4.38,4.36,2.76
id_000597,train,1401,0.58,Very Good,F,SI1,59.9,58,5.35,5.4,3.22
id_000598,valid,14744,2.3,Ideal,G,SI2,61.4,57,8.51,8.48,5.22
id_000599,test,NA,1.21,Premium,H,VS2,60.5,60,6.95,6.9,4.19
id_000600,valid,702,0.32,Very Good,E,VS2,60.5,55,4.43,4.49,2.7
id_000601,train,5438,0.9,Premium,E,VS1,59.4,59,6.31,6.28,3.74
id_000602,valid,698,0.31,Ideal,G,VS2,61.7,57,4.36,4.33,2.68
id_000603,train,1021,0.33,Ideal,F,VVS1,61.8,57,4.46,4.44,2.75
id_000604,train,776,0.3,Premium,G,VS1,62.8,58,4.28,4.26,2.68
id_000605,test,NA,0.31,Ideal,F,IF,61.4,56,4.37,4.42,2.7
id_000606,valid,4856,1.23,Premium,J,VS2,62.7,58,6.81,6.77,4.26
id_000607,valid,1986,0.71,Very Good,J,SI2,60.9,55,5.76,5.87,3.54
id_000608,test,NA,0.73,Ideal,H,VS2,62.7,55,5.72,5.76,3.6
id_000609,train,1640,0.51,Very Good,E,VS2,61.8,58,5.13,5.07,3.15
id_000610,valid,7079,1.01,Very Good,F,VS1,62.5,60,6.36,6.41,3.99
id_000611,train,1637,0.57,Very Good,F,VS2,62,54,5.31,5.34,3.3
id_000612,train,462,0.31,Premium,G,SI1,61.8,60,4.32,4.35,2.68
id_000613,train,544,0.31,Premium,G,VS2,59.8,60,4.4,4.43,2.64
id_000614,test,NA,0.3,Good,H,VVS2,63.7,55,4.27,4.24,2.71
id_000615,valid,2682,0.76,Ideal,D,SI2,62.2,57,5.83,5.85,3.63
id_000616,test,NA,0.5,Very Good,F,SI2,62.9,57,5.02,5.06,3.17
id_000617,train,2161,0.7,Ideal,F,SI1,61.2,56,5.72,5.78,3.52
id_000618,test,NA,1.72,Good,F,SI1,63.2,61,7.57,7.62,4.8
id_000619,test,NA,0.9,Very Good,E,VVS2,62,55,6.08,6.17,3.8
id_000620,train,4255,0.9,Very Good,H,VS2,60,56,6.3,6.34,3.79
id_000621,test,NA,0.31,Good,D,SI2,63.6,54,4.34,4.31,2.75
id_000622,train,7659,1.34,Ideal,H,SI1,62.4,54,7.05,7.08,4.41
id_000623,valid,5152,1.15,Ideal,J,VS1,61.5,55,6.81,6.76,4.17
id_000624,valid,698,0.31,Ideal,H,VS1,62.2,57,4.37,4.34,2.71
id_000625,test,NA,0.38,Ideal,E,IF,61.1,56,4.67,4.72,2.87
id_000626,train,4093,1.02,Good,H,SI1,57.1,61,6.57,6.66,3.78
id_000627,train,4895,1.05,Very Good,I,VS2,63.2,56,6.47,6.51,4.1
id_000628,train,2845,0.7,Very Good,E,VS2,61.8,59,5.65,5.68,3.5
id_000629,train,749,0.31,Ideal,F,VS2,60.8,57,4.41,4.38,2.67
id_000630,train,5055,0.91,Premium,E,VS2,62.3,58,6.21,6.15,3.85
id_000631,train,1639,0.54,Ideal,H,VVS2,61.6,56,5.24,5.27,3.24
id_000632,train,725,0.3,Very Good,G,VS1,63.5,58,4.26,4.21,2.69
id_000633,test,NA,1.01,Premium,F,VS1,61.2,59,6.48,6.42,3.95
id_000634,train,8429,1.31,Ideal,H,VS1,61.5,55,7.02,7.05,4.33
id_000635,train,5152,1,Premium,F,SI1,62.1,59,6.39,6.36,3.96
id_000636,test,NA,0.46,Premium,E,VS1,61.7,59,4.93,4.96,3.05
id_000637,train,924,0.31,Premium,G,IF,61.4,59,4.34,4.39,2.68
id_000638,train,1046,0.31,Very Good,G,VVS1,63.5,57,4.33,4.3,2.74
id_000639,train,1389,0.52,Very Good,E,SI1,62.8,56,5.13,5.15,3.23
id_000640,valid,1753,0.53,Ideal,D,SI1,62,55,5.24,5.22,3.24
id_000641,test,NA,0.4,Ideal,E,SI1,62.2,54,4.74,4.78,2.96
id_000642,train,1989,0.72,Very Good,J,SI1,63,58,5.67,5.7,3.58
id_000643,train,763,0.37,Ideal,D,VS2,61.1,54,4.63,4.66,2.84
id_000644,train,13133,2.01,Premium,J,SI2,60.8,57.2,8.13,8.15,4.95
id_000645,train,8902,1.21,Good,E,VS1,61.7,58,6.73,6.78,4.17
id_000646,valid,3299,1.01,Very Good,I,SI2,61.5,62,6.37,6.41,3.93
id_000647,train,2010,0.7,Very Good,G,SI1,61.7,57,5.65,5.8,3.53
id_000648,train,14127,1.79,Premium,G,SI1,60.5,58,7.88,7.83,4.75
id_000649,train,10169,1.2,Premium,G,IF,59.4,61,6.95,6.92,4.12
id_000650,valid,4849,1.09,Very Good,H,SI1,61.7,59,6.53,6.59,4.05
id_000651,valid,792,0.43,Very Good,H,VS2,61.9,55,4.8,4.95,3.02
id_000652,train,9384,1.5,Very Good,G,SI2,63.1,57,7.29,7.25,4.59
id_000653,train,1257,0.4,Ideal,G,IF,61.1,56,4.76,4.79,2.92
id_000654,train,450,0.25,Ideal,I,VS2,62,57,4.02,4.06,2.5
id_000655,valid,6279,1.29,Premium,I,VS2,62.2,57,7.01,6.97,4.35
id_000656,train,874,0.37,Good,D,SI1,63.7,55,4.59,4.55,2.91
id_000657,test,NA,0.75,Premium,D,SI1,59.2,58,5.96,5.93,3.52
