obs_id,train_id,age,sex,length,diameter,height,total_weight,shucked_weight,viscera_weight,sheel_weight
id_000962,train,10.5,F,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785
id_000963,train,9.5,I,0.505,0.39,0.15,0.685,0.362,0.131,0.156
id_000964,train,10.5,M,0.505,0.41,0.125,0.642,0.289,0.133,0.155
id_000965,test,NA,I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185
id_000966,test,NA,M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19
id_000967,test,NA,I,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175
id_000968,valid,8.5,I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18
id_000969,valid,9.5,M,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885
id_000970,train,9.5,M,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955
id_000971,valid,9.5,F,0.515,0.43,0.14,0.834,0.367,0.2,0.23
id_000972,train,8.5,M,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155
id_000973,train,9.5,F,0.525,0.415,0.14,0.724,0.3475,0.173,0.175
id_000974,valid,12.5,M,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17
id_000975,train,9.5,F,0.53,0.425,0.13,0.7585,0.325,0.197,0.205
id_000976,train,9.5,F,0.53,0.425,0.15,0.8495,0.328,0.232,0.202
id_000977,train,8.5,M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186
id_000978,train,9.5,F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205
id_000979,train,9.5,M,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155
id_000980,valid,9.5,M,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195
id_000981,test,NA,F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218
id_000982,test,NA,F,0.55,0.43,0.14,0.8105,0.368,0.161,0.275
id_000983,valid,10.5,F,0.56,0.455,0.16,0.967,0.4525,0.207,0.274
id_000984,test,NA,F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18
id_000985,train,11.5,M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295
id_000986,train,11.5,M,0.57,0.45,0.155,1.1935,0.513,0.21,0.343
id_000987,train,9.5,F,0.57,0.455,0.15,1.107,0.54,0.255,0.27
id_000988,train,9.5,M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24
id_000989,valid,8.5,M,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214
id_000990,train,10.5,M,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29
id_000991,test,NA,F,0.575,0.46,0.16,1.103,0.538,0.221,0.249
id_000992,test,NA,F,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29
id_000993,train,9.5,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276
id_000994,train,11.5,M,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835
id_000995,train,9.5,F,0.58,0.45,0.145,1.137,0.5585,0.22,0.29
id_000996,valid,10.5,M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237
id_000997,train,12.5,M,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275
id_000998,train,9.5,M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309
id_000999,train,9.5,F,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25
id_001000,test,NA,F,0.595,0.47,0.155,1.121,0.4515,0.178,0.155
id_001001,train,12.5,F,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25
id_001002,train,10.5,M,0.595,0.475,0.165,1.213,0.621,0.2435,0.274
id_001003,train,10.5,F,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515
id_001004,valid,10.5,M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27
id_001005,train,10.5,F,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295
id_001006,train,10.5,M,0.605,0.475,0.155,1.161,0.572,0.2455,0.275
id_001007,test,NA,M,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925
id_001008,train,12.5,M,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085
id_001009,valid,11.5,M,0.61,0.475,0.155,1.168,0.554,0.239,0.3295
id_001010,train,9.5,F,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33
id_001011,valid,12.5,F,0.62,0.51,0.18,1.3315,0.594,0.276,0.388
id_001012,train,11.5,F,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365
id_001013,train,11.5,M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405
id_001014,test,NA,F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349
id_001015,train,10.5,F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315
id_001016,valid,10.5,F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401
id_001017,valid,9.5,M,0.63,0.485,0.155,1.278,0.637,0.275,0.31
id_001018,train,12.5,F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315
id_001019,test,NA,M,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235
id_001020,train,12.5,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395
id_001021,train,11.5,M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745
id_001022,valid,11.5,M,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335
id_001023,train,12.5,F,0.64,0.5,0.17,1.5175,0.693,0.326,0.409
id_001024,valid,11.5,F,0.64,0.5,0.175,1.394,0.4935,0.291,0.4
id_001025,train,11.5,F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185
id_001026,train,12.5,M,0.645,0.52,0.175,1.636,0.779,0.342,0.432
id_001027,train,9.5,M,0.645,0.52,0.175,1.561,0.709,0.3555,0.4
id_001028,test,NA,F,0.645,0.505,0.165,1.4325,0.684,0.308,0.336
id_001029,train,12.5,M,0.645,0.5,0.175,1.3385,0.633,0.299,0.349
id_001030,train,11.5,F,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3
id_001031,test,NA,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385
id_001032,test,NA,M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725
id_001033,train,12.5,M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46
id_001034,test,NA,M,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477
id_001035,train,10.5,F,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825
id_001036,valid,11.5,F,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403
id_001037,train,12.5,F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441
id_001038,train,10.5,M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175
id_001039,valid,11.5,M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485
id_001040,train,7.5,F,0.66,0.475,0.18,1.3695,0.641,0.294,0.335
id_001041,train,12.5,M,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005
id_001042,train,11.5,F,0.675,0.57,0.225,1.587,0.739,0.2995,0.435
id_001043,train,13.5,F,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553
id_001044,train,13.5,M,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498
id_001045,train,9.5,M,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405
id_001046,train,11.5,M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48
id_001047,test,NA,F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503
id_001048,train,13.5,F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045
id_001049,train,12.5,M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475
id_001050,valid,11.5,M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135
id_001051,test,NA,F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405
id_001052,train,12.5,F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6
id_001053,train,13.5,M,0.765,0.6,0.22,2.302,1.007,0.509,0.6205
id_001054,valid,5.5,I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095
id_001055,valid,4.5,I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011
id_001056,train,5.5,I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095
id_001057,train,5.5,I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007
id_001058,train,5.5,I,0.225,0.165,0.055,0.059,0.027,0.0125,0.015
id_001059,train,5.5,I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215
id_001060,train,6.5,I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225
id_001061,train,8.5,I,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025
id_001062,valid,7.5,I,0.275,0.195,0.065,0.106,0.054,0.02,0.028
id_001063,valid,6.5,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034
id_001064,train,6.5,I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03
id_001065,train,7.5,I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039
id_001066,valid,7.5,I,0.315,0.235,0.055,0.151,0.065,0.027,0.039
id_001067,test,NA,I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405
id_001068,train,6.5,I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055
id_001069,valid,7.5,I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635
id_001070,train,7.5,I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067
id_001071,train,7.5,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065
id_001072,test,NA,I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065
id_001073,train,7.5,I,0.4,0.32,0.095,0.348,0.194,0.053,0.087
id_001074,train,8.5,I,0.405,0.3,0.11,0.32,0.172,0.044,0.093
id_001075,test,NA,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875
id_001076,train,7.5,I,0.41,0.325,0.1,0.3245,0.132,0.072,0.106
id_001077,train,8.5,I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035
id_001078,train,8.5,I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105
id_001079,train,7.5,I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088
id_001080,test,NA,I,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045
id_001081,test,NA,M,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035
id_001082,test,NA,I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096
id_001083,train,8.5,I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106
id_001084,train,8.5,I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12
id_001085,train,8.5,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117
id_001086,valid,8.5,I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13
id_001087,train,9.5,I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109
id_001088,train,9.5,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315
id_001089,test,NA,I,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12
id_001090,test,NA,I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975
id_001091,train,7.5,I,0.45,0.33,0.1,0.411,0.1945,0.1,0.098
id_001092,train,7.5,I,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102
id_001093,train,8.5,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175
id_001094,train,8.5,M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129
id_001095,train,7.5,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142
id_001096,train,7.5,I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13
id_001097,test,NA,I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115
id_001098,train,9.5,I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665
id_001099,train,8.5,M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141
id_001100,valid,8.5,I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585
id_001101,train,10.5,I,0.5,0.375,0.12,0.542,0.215,0.116,0.17
id_001102,train,9.5,I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134
id_001103,train,7.5,M,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131
id_001104,train,8.5,F,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405
id_001105,train,9.5,I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182
id_001106,train,7.5,F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385
id_001107,test,NA,I,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525
id_001108,train,9.5,I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166
id_001109,valid,9.5,I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15
id_001110,train,10.5,M,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185
id_001111,train,9.5,I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157
id_001112,train,9.5,I,0.52,0.38,0.125,0.5545,0.288,0.1295,0.167
id_001113,train,8.5,F,0.52,0.46,0.15,1.019,0.523,0.1985,0.254
id_001114,train,9.5,I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17
id_001115,train,10.5,I,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835
id_001116,test,NA,M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201
id_001117,train,9.5,I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405
id_001118,train,9.5,I,0.53,0.4,0.125,0.617,0.279,0.127,0.19
id_001119,train,10.5,I,0.535,0.39,0.125,0.599,0.2595,0.149,0.169
id_001120,train,11.5,I,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895
id_001121,train,8.5,M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156
id_001122,test,NA,M,0.545,0.41,0.12,0.793,0.434,0.1405,0.19
id_001123,valid,10.5,M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218
id_001124,valid,9.5,F,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175
id_001125,train,9.5,F,0.55,0.43,0.15,0.84,0.395,0.195,0.223
id_001126,valid,11.5,M,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165
id_001127,train,10.5,M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234
id_001128,test,NA,M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215
id_001129,test,NA,F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245
id_001130,train,9.5,M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205
id_001131,valid,10.5,M,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23
id_001132,train,9.5,M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206
id_001133,train,10.5,F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645
id_001134,train,10.5,M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25
id_001135,test,NA,F,0.57,0.445,0.145,0.8775,0.412,0.217,0.22
id_001136,train,9.5,I,0.57,0.44,0.15,0.755,0.3425,0.16,0.224
id_001137,train,8.5,F,0.575,0.46,0.145,0.9945,0.466,0.229,0.265
id_001138,train,11.5,F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575
id_001139,test,NA,M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222
id_001140,train,10.5,F,0.575,0.47,0.165,0.869,0.435,0.197,0.238
id_001141,train,10.5,M,0.575,0.455,0.135,0.907,0.4245,0.197,0.26
id_001142,test,NA,I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245
id_001143,train,10.5,M,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228
id_001144,train,10.5,M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22
id_001145,train,9.5,M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265
id_001146,train,10.5,M,0.58,0.455,0.195,1.859,0.945,0.426,0.441
id_001147,train,10.5,M,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22
id_001148,train,10.5,M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253
id_001149,train,9.5,M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295
id_001150,test,NA,F,0.58,0.45,0.155,0.93,0.385,0.246,0.265
id_001151,valid,10.5,M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235
id_001152,train,8.5,M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265
id_001153,train,9.5,M,0.59,0.47,0.15,0.9955,0.481,0.232,0.24
id_001154,valid,10.5,F,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565
id_001155,valid,9.5,M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24
id_001156,train,9.5,F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25
id_001157,train,11.5,M,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225
id_001158,valid,10.5,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292
id_001159,train,10.5,M,0.605,0.475,0.14,1.1175,0.555,0.257,0.274
id_001160,train,11.5,M,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317
id_001161,test,NA,F,0.605,0.475,0.165,1.056,0.433,0.2195,0.357
id_001162,train,9.5,M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415
id_001163,test,NA,M,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865
id_001164,train,10.5,M,0.61,0.47,0.165,1.052,0.498,0.242,0.267
id_001165,valid,11.5,M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27
id_001166,train,10.5,F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415
id_001167,valid,10.5,F,0.615,0.475,0.155,1.027,0.447,0.25,0.285
id_001168,valid,9.5,M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475
id_001169,train,9.5,M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405
id_001170,train,9.5,F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281
id_001171,valid,10.5,F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332
id_001172,train,9.5,M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286
id_001173,valid,9.5,M,0.63,0.47,0.155,1.1325,0.589,0.211,0.287
id_001174,train,11.5,M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425
id_001175,train,10.5,F,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885
id_001176,train,11.5,M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358
id_001177,train,11.5,M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735
id_001178,valid,11.5,F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305
id_001179,train,10.5,F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245
id_001180,valid,12.5,M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294
id_001181,train,12.5,M,0.655,0.515,0.16,1.31,0.553,0.369,0.345
id_001182,train,11.5,F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364
id_001183,train,12.5,F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476
id_001184,test,NA,M,0.665,0.525,0.16,1.363,0.629,0.279,0.34
id_001185,test,NA,I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595
id_001186,train,10.5,F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353
id_001187,valid,15.5,F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735
id_001188,test,NA,M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4
id_001189,train,10.5,F,0.69,0.54,0.155,1.454,0.624,0.3105,0.39
id_001190,train,13.5,M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865
id_001191,test,NA,F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695
id_001192,test,NA,M,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375
id_001193,train,10.5,M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446
id_001194,train,13.5,M,0.7,0.575,0.19,2.273,1.095,0.418,0.638
id_001195,train,10.5,F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995
id_001196,valid,10.5,F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301
id_001197,valid,12.5,F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525
id_001198,test,NA,M,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075
id_001199,train,11.5,M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42
id_001200,train,11.5,F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375
id_001201,train,11.5,F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215
id_001202,valid,9.5,M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685
id_001203,valid,13.5,M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505
id_001204,train,13.5,F,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825
id_001205,train,12.5,M,0.735,0.585,0.185,2.124,0.952,0.55,0.5
id_001206,valid,12.5,M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5
id_001207,train,12.5,F,0.75,0.57,0.21,2.236,1.109,0.5195,0.545
id_001208,valid,12.5,F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785
id_001209,test,NA,M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595
id_001210,valid,12.5,F,0.78,0.63,0.215,2.657,1.488,0.4985,0.586
id_001211,train,7.5,I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15
id_001212,train,5.5,I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215
id_001213,train,6.5,I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225
id_001214,train,6.5,I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025
id_001215,train,7.5,I,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355
id_001216,valid,6.5,I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038
id_001217,valid,6.5,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04
id_001218,train,6.5,I,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445
id_001219,train,6.5,I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385
id_001220,train,7.5,I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09
id_001221,valid,8.5,I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052
id_001222,train,6.5,I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435
id_001223,train,8.5,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048
id_001224,test,NA,I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055
id_001225,train,7.5,I,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055
id_001226,train,6.5,I,0.345,0.255,0.085,0.2005,0.105,0.037,0.05
id_001227,valid,7.5,I,0.35,0.27,0.075,0.215,0.1,0.036,0.065
id_001228,valid,9.5,I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525
id_001229,valid,5.5,I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
id_001230,train,7.5,I,0.365,0.27,0.085,0.1875,0.081,0.042,0.058
id_001231,train,8.5,I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06
id_001232,test,NA,I,0.365,0.265,0.085,0.213,0.0945,0.049,0.06
id_001233,train,8.5,I,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075
id_001234,train,7.5,I,0.37,0.28,0.085,0.217,0.1095,0.035,0.062
id_001235,test,NA,I,0.375,0.29,0.095,0.213,0.096,0.041,0.061
id_001236,valid,8.5,I,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695
id_001237,train,7.5,I,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755
id_001238,test,NA,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775
id_001239,valid,9.5,I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065
id_001240,train,8.5,I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07
id_001241,test,NA,I,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755
id_001242,test,NA,I,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07
id_001243,test,NA,I,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745
id_001244,train,9.5,I,0.385,0.28,0.085,0.2175,0.097,0.038,0.067
id_001245,valid,8.5,I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735
id_001246,valid,6.5,I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655
id_001247,valid,8.5,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089
id_001248,train,9.5,I,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945
id_001249,train,9.5,I,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085
id_001250,train,6.5,I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082
id_001251,train,6.5,I,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765
id_001252,train,7.5,I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075
id_001253,test,NA,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17
id_001254,valid,7.5,I,0.42,0.305,0.09,0.328,0.168,0.0615,0.082
id_001255,test,NA,I,0.425,0.325,0.11,0.3335,0.173,0.045,0.1
id_001256,train,8.5,I,0.425,0.32,0.1,0.3055,0.126,0.06,0.106
id_001257,train,8.5,I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08
id_001258,train,9.5,I,0.43,0.34,0,0.428,0.2065,0.086,0.115
id_001259,test,NA,I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045
id_001260,valid,8.5,I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12
id_001261,test,NA,I,0.44,0.34,0.12,0.438,0.2115,0.083,0.12
id_001262,train,10.5,I,0.45,0.33,0.105,0.448,0.208,0.089,0.12
id_001263,train,9.5,I,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126
id_001264,train,9.5,F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245
id_001265,test,NA,I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11
id_001266,train,8.5,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11
id_001267,valid,10.5,I,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114
id_001268,valid,9.5,F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141
id_001269,valid,12.5,I,0.465,0.34,0.11,0.346,0.1425,0.073,0.113
id_001270,train,9.5,I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135
id_001271,test,NA,I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505
id_001272,train,9.5,I,0.47,0.355,0.12,0.393,0.167,0.0885,0.115
id_001273,train,9.5,I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14
id_001274,valid,9.5,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505
id_001275,test,NA,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15
id_001276,train,10.5,I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165
id_001277,train,9.5,I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132
id_001278,train,9.5,I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135
id_001279,test,NA,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495
id_001280,valid,8.5,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16
id_001281,train,9.5,M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167
id_001282,train,10.5,I,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565
id_001283,train,10.5,M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065
id_001284,train,10.5,I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185
id_001285,train,10.5,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196
id_001286,train,8.5,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157
