obs_id,train_id,median_house_value,population,latitude,longitude,total_units,vacant_units,median_rooms,mean_household_size_owners,mean_household_size_renters,built_2005_or_later,built_2000_to_2004,built_1990s,built_1980s,built_1970s,built_1960s,built_1950s,built_1940s,built_1939_or_earlier,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5_or_more,owners,renters
id_002908,train,375500,5121,37.398089,-122.096743,2116,85,3.4,1.84,2.41,1.6,0.6,2.8,9.4,24.2,47.9,10.4,2.7,0.3,1.7,54.4,40.2,3.6,0,0,11.7,88.3
id_002909,train,434000,5380,34.275707,-118.673088,1978,16,5.7,2.68,3.08,0,6.1,7.8,3.6,58.8,21.9,1.3,0.4,0,1.4,5.8,30.5,21.4,32.8,8.2,72.1,27.9
id_002910,test,NA,2952,40.759356,-78.524863,1379,217,5.9,2.39,2.53,0.7,6.5,11.8,5.3,13.5,3.7,7.5,5.9,45.3,0.7,5.2,27,46.5,16,4.6,80.5,19.5
id_002911,test,NA,3685,40.33994,-80.067206,1383,26,8.1,2.92,1.94,0,7.6,2.7,10.4,22.6,19.1,21,8.6,8,0.9,2.7,6.5,21.8,57.3,10.9,93.9,6.1
id_002912,train,393300,3319,34.04532,-118.313591,1137,20,3.5,2.75,3.01,2.6,12.1,2.8,1.1,8.6,24.8,17.6,1.1,29.2,10.2,32.3,48.6,6,1.6,1.3,5,95
id_002913,train,879700,2917,34.039969,-118.430614,1189,100,5.3,2.67,2.37,1.6,3.4,4.4,13.8,7.3,3.1,10.3,25.5,30.6,4.2,3.8,42.6,31.2,14.3,4,67.5,32.5
id_002914,train,275900,13206,38.446032,-121.389443,3704,189,6.1,3.58,4.08,17.6,29.7,48.4,0.8,0.6,2.2,0.3,0.4,0,0.9,2.6,8.7,38.1,38.3,11.3,67.4,32.6
id_002915,train,418600,6281,34.12834,-117.552175,1885,58,6.7,3.32,4.08,0,11.1,53.6,31.5,0,0,3.2,0.6,0,0,0,0,36.6,51.2,12.2,90,10
id_002916,valid,186000,5171,33.855949,-118.192369,1509,92,3.8,4.45,2.96,0,0,1.8,20.9,18.5,18.8,9.2,17.7,13.2,2.7,36.2,44.7,13.5,2.1,0.9,22.3,77.7
id_002917,valid,279800,3006,34.066231,-117.792973,662,0,5.6,4.68,4.52,0,0,0,0,12.4,20.8,62.5,1.8,2.4,2,0,9.5,53.9,33.1,1.5,81.4,18.6
id_002918,test,NA,1763,39.870338,-75.285473,739,77,5.8,2.61,2.79,0,0,6.6,7.8,1.8,16,16,17.1,34.8,0,4.6,23,63.7,5.1,3.5,76.7,23.3
id_002919,test,NA,4474,40.286454,-76.986796,1741,59,6,2.73,1.66,12.3,14.8,43.4,5.7,7.4,4.3,6.7,3.2,2.3,0,2.1,42.7,24.4,21,9.9,79.4,20.6
id_002920,test,NA,6363,40.14142,-74.83245,2747,377,6,2.56,1.96,0.5,0,1.9,1.9,13.3,12.4,66.2,3.2,0.5,8.5,4.4,9.7,48.6,26.2,2.6,86.5,13.5
id_002921,train,209500,4268,34.062447,-117.32577,1260,220,4.9,4.41,3.87,0,0.3,4,9.1,6.4,9.5,22.6,14.8,33.3,1.2,11.7,38.4,42.9,5.8,0,52.2,47.8
id_002922,train,385000,4320,38.650208,-121.175728,1679,108,6,2.87,2.32,6.8,2.3,74.2,13.5,2.3,0,1,0,0,0,10.3,17,30.3,32.1,10.3,76.4,23.6
id_002923,valid,497800,4320,34.228968,-119.044408,1540,31,6.3,2.94,2.61,0,0,0.4,7.5,34.5,56,1.6,0,0,0,12.8,10.8,25.8,43.1,7.5,67.9,32.1
id_002924,test,NA,3822,40.611626,-75.478348,1313,146,6,3.15,3.42,2,0.8,2.4,5.2,8.8,5.2,3.3,2.3,70,0.8,8.5,25.4,21.2,17.1,26.9,38.3,61.7
id_002925,valid,193200,6940,37.615564,-120.967795,2138,125,5.1,3.89,3.54,0.6,2.8,18.8,30.7,17.4,16,7.5,3.9,2.2,0,2.1,31.7,52,12.6,1.7,52.3,47.7
id_002926,valid,501000,4839,37.386632,-121.87116,1434,7,5.5,3.47,3.33,0.9,3.3,8.7,17.9,60,5.8,2.8,0,0.6,0.4,1.3,12.3,51.5,32.4,2.2,82.4,17.6
id_002927,test,NA,4760,41.033837,-75.158727,2249,290,6.2,2.75,3.1,4,11.6,16.5,26.5,16.7,5.5,8.4,6.7,4.2,0,6,18.1,43,26.5,6.4,71.4,28.6
id_002928,train,356100,5796,36.85914,-119.738778,2152,59,6.5,2.99,3.01,18.8,38,39.8,2.7,0,0,0,0.7,0,0.5,0.7,17.6,31.7,33.9,15.6,71,29
id_002929,train,153500,4150,33.949233,-117.253396,1306,38,5.4,3.16,4.31,0,0,7.2,74.3,13.1,4.3,0,1.1,0,2,0,19.7,62.3,14.5,1.5,82.4,17.6
id_002930,train,552800,7191,34.281142,-119.187866,2464,72,6.6,2.65,3.83,0.6,2.4,29.8,3.6,16.4,29.1,16.8,1.3,0,0.6,0.8,8.2,41.1,44.1,5.2,88,12
id_002931,valid,477600,3331,34.268453,-118.753345,900,29,6.6,3.37,4.78,0,0,0.7,9.8,18.1,69.8,0.8,0.9,0,0,0,11.2,29.1,36.7,23,82.4,17.6
id_002932,test,NA,2198,40.33598,-79.429208,995,64,6.8,2.63,2.77,2.9,2.2,8,3.5,17.9,11.1,18.8,7.1,28.4,0,3.7,10.1,61.4,17.5,7.3,93.9,6.1
id_002933,train,583300,2743,38.426986,-121.835647,1071,40,5.3,2.37,3.3,11,8.5,9.1,9.8,16.3,10.1,7.1,4.9,23.2,0,9.6,27.5,47.9,11.1,3.8,54.9,45.1
id_002934,valid,683900,4480,37.40437,-122.083883,1857,104,4.7,2.88,2.16,2.3,0.5,2.7,13.4,27.8,17.1,34.1,0.9,1.2,1.1,24.2,22.5,33.9,14.6,3.7,52.1,47.9
id_002935,test,NA,5078,40.341094,-75.644804,2091,87,6.3,2.44,3.64,0.6,2.3,10.8,15.1,24,8.3,12.1,8.6,18.2,0,3.3,16.4,59.1,16.6,4.6,89.8,10.2
id_002936,train,602400,2871,37.41416,-122.092063,1215,15,4.3,2.21,3.02,10.9,3.5,11.2,12,34.4,18.4,1.9,6.5,1.2,7.2,13.6,46.7,24.4,8.1,0,44.2,55.8
id_002937,train,309600,5215,33.510893,-117.134072,1869,212,4.6,3.05,3.18,2,27.2,23.4,40.2,2.3,2.5,0,0,2.3,1.8,12,39.8,32.3,13.6,0.6,39.3,60.7
id_002938,train,290600,7671,36.527618,-119.547702,2731,300,5.7,3.18,2.83,1.6,6.7,19.1,13,16.3,16.1,7.4,9.7,10,0.5,10.7,27.2,39.6,16.7,5.2,58.2,41.8
id_002939,valid,739200,4669,37.237476,-121.89688,1665,32,5.9,2.72,1.9,0.9,0,21.5,26.3,9.8,31.5,8.8,1.2,0,2.9,7.9,11.7,46.1,25.5,5.9,72.6,27.4
id_002940,valid,369100,3061,34.092582,-118.222851,905,94,4.2,4.03,4.27,0,0,0,3,6.4,6.4,6.5,8,69.7,6.2,28,41.2,18.3,4.5,1.8,34,66
id_002941,test,NA,8153,40.978099,-75.420538,2948,210,6.5,2.94,2.87,4.4,13.8,26.6,32.9,11.8,0.9,3.1,0,6.5,0,1.3,18.4,50.2,24.4,5.7,85.5,14.5
id_002942,test,NA,6021,41.805491,-77.080993,2182,192,5.9,2.34,2.13,3.8,4.3,11,10.9,21.7,11.6,4.4,2.4,30,1.3,12.1,22.4,41.4,16.7,6.2,64.2,35.8
id_002943,valid,198600,4430,34.421591,-118.449461,1701,148,3.9,2.32,2.29,1.8,5.7,6.7,62.7,12.8,4.8,4.8,0.8,0,0,23.8,55.6,19.5,0.5,0.6,43.8,56.2
id_002944,test,NA,2077,40.203959,-77.183655,1144,140,5,1.97,1.9,5.5,1.7,2.3,2.9,10.6,6.7,5.2,0.3,64.8,4.3,17.4,41.6,31,4,1.7,40.3,59.7
id_002945,test,NA,7023,40.59478,-75.487468,2952,215,4.9,2.49,2.38,0,0.3,1.5,6.2,13.9,16,8.5,8.7,44.9,6.9,23.4,24.8,26.2,4,14.6,33,67
id_002946,valid,605300,2082,38.972875,-123.12641,937,194,5.1,3,2.8,6.6,12.7,23.3,16.9,5.9,7.4,10.1,4.8,12.4,2.7,21.9,25,38.2,11.4,0.9,60.6,39.4
id_002947,valid,368100,5059,33.951338,-118.364796,1400,52,4.7,3.59,3.01,0,0,0,5.5,4.7,10.8,29.6,26.7,22.6,6.2,14.1,48.1,25.5,5.3,0.8,52.8,47.2
id_002948,test,NA,6243,40.591938,-75.450682,2369,57,5.4,2.64,2.92,6.6,0,0.3,13.4,12.9,15.4,16.7,3.7,30.9,0.9,15.8,24.8,43,12.8,2.7,53.9,46.1
id_002949,valid,218400,6246,37.956916,-122.338199,2585,204,3.8,2.07,2.83,0.6,1.1,3,30.6,20.3,20.1,7.6,12,4.7,5.2,31,45.3,15.4,3,0,30.7,69.3
id_002950,valid,591800,4074,34.059708,-118.312497,1886,184,2.5,2.55,2.31,5.4,5.2,2.3,9.2,17.2,18.2,12.5,6.4,23.7,23.9,47.5,18.7,5.4,3.5,1.1,15.5,84.5
id_002951,train,353700,5702,37.735734,-121.144247,1726,0,6.4,3.35,3.13,11.9,24.6,23.8,31.6,2.4,1.5,1.2,1.3,1.9,0,4.3,14.7,38.1,33.4,9.6,71.3,28.7
id_002952,train,361400,6917,39.43024,-123.362525,3283,461,5,2.35,2.48,5.2,5.3,17,27.2,21.6,8.6,6.8,2.1,6.1,2.3,12.4,37.7,40.3,7.3,0,78,22
id_002953,test,NA,3507,40.182414,-74.850736,1455,106,6,2.56,3.25,0,1.2,6.1,3.6,13.9,13.4,55.7,5.6,0.5,0,1.4,28.5,54.4,13.2,2.6,88,12
id_002954,test,NA,4919,40.323963,-80.054933,1913,63,6.9,2.69,2.83,0,0.6,1.1,2,7.1,24.1,37.9,23.1,4.1,0,1.6,13.8,55.2,24.4,5.1,93.5,6.5
id_002955,train,392600,3931,37.769421,-122.197642,1432,200,4.3,2.87,2.53,0,8.1,5.6,8.2,4.5,19.1,21.5,15.2,17.8,8.1,26.2,36,17,11.7,1,22,78
id_002956,test,NA,2866,40.961381,-75.974732,1291,218,5.7,2.59,2.42,1.3,1.8,2.1,3,4.4,0.3,12.7,18.9,55.5,3.8,12.1,25.9,46.2,7.1,4.9,39.8,60.2
id_002957,train,230200,3519,35.146995,-118.505228,1560,195,5.4,2.32,2.15,5.6,8.6,22,34,20.6,5.4,0,0,3.7,0,7,13.5,69.7,8.8,1,82.4,17.6
id_002958,test,NA,5097,39.887005,-79.865005,2174,280,5.6,2.73,2.49,2.3,0.5,11.9,4.5,10.3,7.8,7,5.4,50.4,1.8,3.8,32.4,40.1,18,3.8,80.3,19.7
id_002959,train,336300,6099,36.853487,-121.388637,1691,18,5.8,3.83,4.36,0,4.9,33.9,27.1,10.6,6,9.5,3.8,4.1,0.7,1.1,13.4,55.3,22.2,7.4,59.7,40.3
id_002960,test,NA,4594,41.795654,-76.807474,2201,299,6,2.64,2.07,2.7,3.4,8.5,15.8,15,7.5,7.2,3.7,36.2,0.8,11.7,23.6,40.5,16.4,7.1,68.8,31.2
id_002961,test,NA,5524,39.994439,-75.183004,2997,831,6,2.22,2.62,0,1.5,2.6,0,0.9,7.3,10,21.1,56.7,0.8,8.2,24.5,44.5,16.4,5.5,50.4,49.6
id_002962,train,245300,1847,41.624851,-122.870436,972,185,5,2.04,2.28,0.4,5,10.3,18.5,21.2,11.3,8.1,4.9,20.2,0.6,10,42.7,34.3,10.9,1.5,75.3,24.7
id_002963,valid,435800,1783,38.268519,-121.279351,527,74,5.8,3.65,3.31,18,13.7,12,7,9.7,10.6,8,15.2,5.9,0,0,21.8,44.2,22.4,11.6,90.7,9.3
id_002964,test,NA,1680,40.551833,-80.192089,651,50,8.1,2.77,2.98,1.4,0.6,2.2,2.9,2.9,8.1,18.1,10.8,53,1.2,1.2,10.8,31.6,29.3,25.8,92.7,7.3
id_002965,train,153500,7449,35.331359,-119.029016,2456,229,4.9,3.21,3.21,0,0.2,3.8,13.2,9.1,30.5,31.4,6.7,5,5.3,12.3,21.4,48.9,11.2,1,41.6,58.4
id_002966,valid,787800,8230,33.691852,-117.997333,3577,133,5,2.83,1.67,2.8,10,28.9,22.8,18.8,10.1,4.4,1.2,1,8.1,23.8,16.2,25.4,17.3,9.1,55.9,44.1
id_002967,valid,404500,5234,34.02944,-118.360536,1501,94,4.1,4.15,3.25,4.1,3.7,2.6,1.5,17.4,5.7,20.1,11.5,33.4,5.8,20.8,50,20.7,1.5,1.3,22.7,77.3
id_002968,test,NA,1432,40.050426,-75.24056,717,37,5.3,1.99,1.45,1.4,0,2,7.9,41,8.9,13.9,10.3,14.5,0,19.5,37.7,31.4,10.2,1.3,77.2,22.8
id_002969,test,NA,3397,40.485795,-75.836487,1455,26,5.9,2.4,2.3,4.9,9.6,9.5,14,13.7,7.1,10.6,4.9,25.7,2.8,9,17.7,48.7,21,0.9,72.3,27.7
id_002970,train,389300,3022,38.376062,-121.975269,1116,20,6.2,2.88,3.27,0,0,16.2,48.9,10.6,13.5,3.7,0,7.1,1.8,0,20.4,50.7,26.3,0.7,58.5,41.5
id_002971,train,394800,2502,37.843845,-122.289329,1379,179,3.6,1.98,2.03,25.6,45.3,6.7,0,6.5,0,2.2,1.7,12,2.9,34.2,57.4,5.4,0,0,43.6,56.4
id_002972,test,NA,5690,40.148247,-76.597008,1895,67,5,2.73,1.87,4.2,3.2,6.5,5.3,11.9,8.8,16.6,17.4,26.2,3.8,23.9,33.5,31.8,3.2,3.9,40.4,59.6
id_002973,train,608500,8186,33.661772,-117.813918,2759,76,5.8,2.67,2.87,0,0.5,3.4,8.8,47.9,38.6,0.4,0,0.4,0.5,4.6,18.2,57.5,14.3,4.9,68.2,31.8
id_002974,valid,349600,6481,36.766994,-121.753808,1489,105,4.6,4.08,4.28,1.7,5.7,17.8,9.4,15.4,12.3,25.1,8.9,3.7,0.7,6.8,41.4,38.9,9.3,2.9,42.7,57.3
id_002975,valid,492500,3665,37.342682,-121.814756,864,69,6.1,4.37,5.64,0,0,10.6,22.1,18.3,36.9,4.2,7.9,0,0,0,10.3,38.5,49.2,2,81,19
id_002976,train,526600,3263,33.894158,-117.848164,1073,43,6.3,2.88,4.24,0,1.5,0,2.1,29,52.2,12.2,0,3,0,1.3,5.8,52,36.9,4,88,12
id_002977,test,NA,7892,40.296155,-79.421359,2888,144,6.5,2.55,1.8,6.2,5,12.6,10.8,17.7,13.9,19.6,4,10.1,0,8.9,21.6,44,20,5.4,77.6,22.4
id_002978,train,354800,4563,32.715204,-117.153497,2872,652,2.7,2.12,1.69,21.2,25.6,10.8,15.8,11,2.1,1.2,2.2,10.1,31.7,36.5,27.6,3.3,0,1,12.1,87.9
id_002979,train,70400,7100,34.700853,-118.086679,2292,199,6.4,2.99,3.73,6.5,7.3,23.4,38,18.2,4.6,0.4,0,1.5,0,6.2,21.6,40.4,25.8,6,77.7,22.3
id_002980,train,394900,4203,32.633879,-117.05535,1515,43,6.2,3.02,3.36,0,0.9,4.1,3.6,19.9,37,31,2.9,0.7,0,0,16.2,51.7,23.2,8.8,85.9,14.1
id_002981,valid,449400,3246,34.054979,-117.947163,957,0,5.5,3.62,3.11,0,0,4.7,0.9,18,12.1,55.9,0,8.4,0,13.8,16.6,48,13.8,7.8,58.6,41.4
id_002982,train,429800,5020,34.302669,-118.468707,1198,109,5.2,4.12,3.88,1.8,3.2,4.7,18,26.5,12.7,20.9,8.3,4,1.8,20.7,18.1,33.1,23.2,3.2,50.1,49.9
id_002983,train,357100,7139,33.900861,-118.295594,2537,81,3.6,2.77,2.91,7.1,1.1,4.5,9.9,17.9,22,18.6,16.7,2.1,6.9,29.5,37.7,19,5,2,34.2,65.8
id_002984,train,117600,6700,33.737265,-117.842352,1894,91,3.7,2.29,4.02,0.4,1.6,4.2,15.9,39.3,30.3,3.4,1.8,3.1,3.1,33.1,57.2,4.1,2.5,0,16.2,83.8
id_002985,train,467400,4352,34.240372,-118.469558,1247,40,4.4,3.35,3.86,1.8,19.5,4.3,18.6,22.1,7.1,26.1,0.3,0,4,20.3,27.7,41.1,6.9,0,37.6,62.4
id_002986,test,NA,9325,40.036985,-77.549653,3610,163,6,2.67,2.57,8.1,14.8,12,8.1,15.2,12.1,10.8,6.1,12.8,0,7.6,26.4,48.4,13.9,3.6,79.5,20.5
id_002987,train,296700,4627,36.807588,-119.656361,1392,92,6.8,3.54,3.53,44.3,35.3,18.6,0.6,0.1,0,1.1,0,0,0,0,0,39.7,40,20.3,80.5,19.5
id_002988,train,800100,3596,34.445904,-119.80641,1529,21,5.7,2.4,2.27,1.8,15.5,6.3,3.3,21.1,48.4,2.6,0.9,0,0,9.7,24.8,28.5,30.5,6.5,64.7,35.3
id_002989,test,NA,5577,40.07667,-75.080339,2514,67,5.5,3.15,1.61,0.6,1.8,3.4,2.3,4.8,20.2,29.4,13,24.5,0,27,24.7,34.4,8.2,5.7,59.2,40.8
id_002990,train,395800,4052,33.938059,-118.179082,1003,47,4.7,4.25,3.51,0,0,0,0,19.3,12,34.6,23.7,10.4,4.3,27.1,18.7,43.5,6.4,0,43.7,56.3
id_002991,train,322100,6342,33.782078,-117.494479,2312,91,5.3,2.44,2.96,14.7,38.1,12.7,33.3,1.1,0,0,0,0,0,3.4,44,28.4,17.6,6.6,80.3,19.7
id_002992,test,NA,7040,41.2108,-76.775187,3128,150,5.9,2.47,1.93,1.3,3,10.6,14.5,15.2,7.4,6.7,6.4,34.7,1.3,5.1,26.1,47.3,17.4,2.8,75.7,24.3
id_002993,train,204300,5348,34.083951,-117.628584,1420,139,4.9,4.15,4.99,1.5,1.8,0.8,15.4,25.4,21.2,33.9,0,0,2.2,8,35.1,45.4,9.4,0,60.3,39.7
id_002994,test,NA,3802,40.771421,-75.448349,1437,96,6.8,2.64,2.42,6.8,14.5,7.9,13.4,23,11.6,3,0,19.9,0,4.5,17,53,21.2,4.3,95,5
id_002995,train,585700,2352,32.755426,-116.99294,922,38,6.7,2.82,2.51,2.8,0.5,3.5,8.8,33.8,25.5,15.3,7,2.7,3,2.8,11.6,44.9,29.3,8.4,83.6,16.4
id_002996,train,390300,3638,33.798816,-117.994385,1201,76,4.6,4.01,2.4,3.7,2,33.3,8.2,14.1,13.7,17.9,1.6,5.6,2.7,26.2,25.1,31.5,14.6,0,49.9,50.1
id_002997,train,686100,4074,34.001984,-118.427025,2022,79,3.4,2.06,2.18,0.5,1.6,4.4,10.6,19.4,23.7,23.6,9.7,6.3,8.8,47.9,28.9,9.4,3.4,1.6,15.3,84.7
id_002998,test,NA,5884,40.363706,-76.444221,2178,48,6.2,2.66,2.71,1.8,9.6,16.9,19.2,20.8,6.6,11.4,1.3,12.4,0.7,0.6,13.5,71.1,10.8,3.4,93.8,6.2
id_002999,test,NA,3966,40.537824,-75.427807,1496,43,7.1,2.76,2.56,9.7,9.3,14.8,9.2,15.6,17.6,11.2,8.4,4.2,0,2.2,15.3,49.1,28.2,5.2,89.6,10.4
id_003000,test,NA,6331,40.625215,-79.942004,2263,76,7.4,2.93,1.63,4.9,17,15.6,8.3,6.3,14.5,21.5,5.1,6.8,0.8,3.3,11.4,38.8,41,4.8,92.3,7.7
id_003001,train,366600,6109,34.230255,-118.586691,2116,193,4.3,3.08,3.39,0.5,7.1,2.8,30.8,25.4,9.2,22.1,1.5,0.5,1,17,47.5,24,10.4,0,23.7,76.3
id_003002,train,491700,2569,32.750433,-117.199592,1515,138,3.2,1.93,1.53,0,0.5,6,26.9,22.2,10.9,16.5,5,11.9,7.4,59.3,24.8,8.1,0.4,0,16.3,83.7
id_003003,train,347700,5998,32.650352,-116.977704,2234,217,5.4,2.97,3.53,1.1,3,37.9,43.5,10.1,2.7,0,0,1.7,0,4.3,30.3,45.7,17.3,2.5,67.1,32.9
id_003004,valid,365600,5903,32.625769,-117.079002,2053,66,4.9,3.03,2.78,1.9,0.5,9.3,6.7,15.1,13.8,41.6,5.6,5.4,1.9,17.5,33.3,32.7,12.6,1.9,43.8,56.2
id_003005,train,411500,3992,33.771818,-118.157681,2045,138,4,1.59,2.11,0,0.4,2.6,6.8,26.7,14.5,13,5.6,30.3,5.6,31.8,46,15.6,0,1.1,20.2,79.8
id_003006,test,NA,4261,41.002101,-76.458918,2437,281,4.9,2.52,2.16,1.9,1.8,3,7.8,3.2,6.5,3.7,5.7,66.4,3.4,19.7,25.5,32.5,10.6,8.4,27.6,72.4
id_003007,valid,635000,2490,33.684729,-117.779725,867,0,7.1,2.81,5.63,0,0,0,7.3,60.7,29.4,0,0,2.7,0,0,2.2,30.6,52,15.2,93.8,6.2
id_003008,test,NA,3050,40.239807,-79.582396,1582,157,5.6,2.24,1.92,0,0,4.4,0,14.2,16.3,15.9,11.2,38.1,5.4,7.7,41.8,35.7,7.5,1.9,60.6,39.4
id_003009,train,349400,3972,33.93077,-117.933267,1031,58,4.3,3.12,4.59,0,0,0.8,7.4,18.4,7,45.6,15.7,5.1,12.2,1.9,44.7,30.9,10.2,0,53.5,46.5
id_003010,train,232400,3635,37.873621,-122.079971,3051,372,4.6,1.4,1.08,0,0.4,4.3,7.4,11,62.6,7.6,5.9,0.8,0,5.7,88.6,1.6,2.5,1.6,88.8,11.2
id_003011,valid,297100,5875,37.732827,-121.445283,1867,26,6.3,2.98,3.24,1.4,5.7,35.5,34.6,15.7,2.1,3.6,0.9,0.5,0,3.1,3.1,53.1,36,4.7,78,22
id_003012,valid,176500,3067,38.262757,-121.304072,1156,26,4.9,2.32,2.56,1.1,0.7,15.2,11.9,26,18,18.8,0.8,7.5,3.6,7.8,37.6,45.3,4.8,0.8,62.4,37.6
id_003013,train,774300,1682,36.622146,-121.914545,1289,272,4.1,1.85,1.82,1.7,3.1,5,1.3,10.9,5.6,11.7,4.3,56.4,3,31,47.6,16.7,0.9,0.9,32.6,67.4
id_003014,valid,479600,7171,34.148159,-118.005463,2945,243,4.2,2.38,2.73,3.6,0.7,4.1,10.8,14,16.2,17.5,5.6,27.5,2,25.4,45.6,22.5,4,0.5,31.1,68.9
id_003015,train,440000,8631,33.863989,-118.004662,2400,0,4.3,3.85,3.36,0.6,0.5,4,12.9,21.7,25.7,19,11,4.7,0.2,23.5,44.5,19.5,10.7,1.6,28.5,71.5
id_003016,test,NA,6099,40.49481,-78.743353,2128,40,6,2.55,2.49,1.7,1.6,9.6,6.8,20.3,4.7,9.5,17.2,28.8,1.8,2.4,25.6,55.3,13.8,1.1,78.8,21.2
id_003017,test,NA,3451,40.500288,-79.948844,1816,179,5.2,2.24,1.93,0,0,1.8,1.7,3,6.7,21.9,10.5,54.4,0.7,20.3,41,31.6,6,0.4,52.7,47.3
id_003018,train,496200,4255,34.189225,-118.636615,1524,41,6.1,2.82,3.04,0,0,0,2,3.8,20.9,70.3,1.2,1.8,0,0,9.6,53.9,34,2.5,80.9,19.1
id_003019,test,NA,2586,39.981279,-75.112329,1133,145,5.3,2.09,2.42,1.3,0,0,0.4,2.8,1.4,12.4,6.2,75.4,0,12.7,27.6,56.6,3.1,0,67.5,32.5
id_003020,valid,181900,3209,33.874133,-118.270313,1038,30,5.9,3.15,3.94,0,0,1.4,11.7,39.9,37.3,9.7,0,0,0,1.3,25,41.4,29.7,2.5,93.2,6.8
id_003021,test,NA,884,40.46436,-79.990268,619,169,4.9,1.74,2.39,0,0,7.9,8.9,3.6,0,3.7,14.2,61.7,3.6,19.5,44.4,22.3,10.2,0,56.7,43.3
id_003022,train,280300,5474,35.08381,-118.576183,2660,455,5.8,2.79,2.86,20.2,10.6,29.4,19.9,8.3,6.4,2.6,1.1,1.5,1.6,2.4,15.9,60,14.2,5.9,87.7,12.3
id_003023,test,NA,3454,42.10751,-80.095105,1521,170,5.7,2.45,2.54,0,0,1.8,3.2,0.6,6.1,4,10.7,73.6,0.5,8.9,35.8,38.5,13.3,2.9,48.9,51.1
id_003024,valid,559900,5831,33.867234,-118.31734,2168,90,5.7,2.59,3.16,0.3,2.5,2,2.7,12.2,25.9,48.6,2.5,3.4,3.8,3.2,16.1,57.9,16.7,2.4,85,15
id_003025,valid,363800,4777,34.406633,-118.927301,1262,113,5,4.48,3.71,0.7,20,7.4,5.5,20.5,15.7,18.3,1.7,10.1,2.9,9.1,25,44.1,13.7,5.2,65.5,34.5
id_003026,train,458100,3741,34.211609,-118.401611,1047,125,5,3.56,3.78,0,0,0,15.7,8.5,13.5,35.3,22.6,4.4,7,9,22.2,50.4,11.3,0.2,49.8,50.2
id_003027,train,567400,3866,32.72476,-117.129425,1872,89,4.2,2.67,2.04,1.4,0.8,0,1.3,9.3,6.8,10.7,10.5,59,3.1,32.5,44.6,13.8,2.7,3.3,36.3,63.7
id_003028,valid,374200,2385,37.807292,-122.295186,1020,158,4.5,2.92,2.31,0.9,9.2,1.6,0.9,6.9,2.3,4.9,12.4,61.1,9.3,19.8,28.7,31.6,4.8,5.8,32,68
id_003029,train,750000,5922,38.541099,-121.757372,1127,34,3.4,3.94,2.46,1.3,16.6,10.6,13,32.2,18.6,5,1.9,0.8,0,28.2,56.4,5.9,7.3,2.2,4.6,95.4
id_003030,valid,740000,4582,37.331051,-121.776425,1293,30,7.2,3.38,3.48,0,0,2.1,47.6,42.6,6.3,0.9,0.5,0,1,0,0.7,21.6,62.7,14,94.4,5.6
id_003031,valid,258600,3655,41.886085,-124.095489,1840,482,5.1,2.27,2.42,6,10.6,14.9,16.8,15.8,8.4,10.2,6.4,10.9,2.2,14.8,28.3,44.8,7.6,2.3,72,28
id_003032,test,NA,4044,40.821941,-79.522636,1917,201,5.3,2.7,1.78,0,0,1,4.2,6.5,8.1,8.8,6.5,64.9,4.7,16.1,36.2,25.9,12.9,4.2,49,51
id_003033,valid,277400,5095,33.970305,-117.354267,1496,155,4.9,3.5,4.18,14,0,13.4,12,18.1,6.8,20.4,10.4,4.9,3.4,10.6,32.2,37.4,13.7,2.7,55.7,44.3
id_003034,valid,324200,4775,33.940873,-118.218321,1122,136,4.3,4.21,3.8,0,0,2.3,0.5,6.5,12.7,9.9,57,11.1,0,27.7,40.4,29.9,0.9,1.1,58.4,41.6
id_003035,train,340000,3498,34.211523,-118.602869,1284,122,4.2,2.93,3.32,3.3,3.7,9.4,42.4,17.6,16.1,7.4,0,0,4.8,22,40.3,23.5,9.3,0,49.7,50.3
id_003036,train,506400,3314,37.145995,-121.658521,1106,151,5.7,3.03,4.64,8.7,20.8,25.4,8.4,31.4,0,5.3,0,0,0,7.7,16.3,46.5,24.5,5.1,85.5,14.5
id_003037,valid,486900,6595,37.341349,-121.98667,2768,231,4.1,2.27,2.55,1.2,2.7,4.6,12.6,42.8,16.6,15.6,1.6,2.3,3,21.9,47.8,23.5,3.8,0,27.4,72.6
id_003038,test,NA,1546,41.380089,-75.694421,718,51,6,2.46,2.13,0,1.7,2.2,9.3,16.2,8.8,7.9,15.2,38.7,0,8.1,16.7,60,12,3.2,74.2,25.8
id_003039,train,485700,7399,36.923904,-121.755165,2257,79,5.2,3.26,3.52,3.2,1.6,7.9,6.8,10.9,12.1,19.7,19,18.8,1.9,10,28.8,49.8,9.4,0,56.3,43.7
id_003040,train,220600,6205,39.262512,-121.670142,1827,30,5.5,3.05,3.62,25,5.1,8.3,12.3,10.7,11.5,5.4,10.1,11.4,0,10.4,10.5,53.4,17.5,8.2,63,37
id_003041,train,221100,4512,34.10373,-117.391312,1187,164,4.9,4.66,3.55,3.5,3.5,9.9,32.6,31.1,7.8,11.7,0,0,0,15.4,24.2,39.9,18.9,1.6,32.5,67.5
id_003042,train,382300,1422,34.106266,-117.944129,386,14,5.4,4.52,3.13,8.3,3.4,10.1,14.5,3.9,17.6,14,16.3,11.9,1.6,10.9,17.1,44.8,24.4,1.3,68.8,31.2
